UserID;Place;Ratings
1;Air Terjun Madakaripura;5
1;Bunaken Marine Park;5
1;Curug Cikaso;5
1;Curug Cipendok;5
1;Curug Cipamingkis;4
1;Danau Toba;5
1;Grafika Cikole;3
1;Green Canyon Pangandaran;4
1;Kawah Ijen;4
1;Labuan Bajo;5
1;Pantai Balekambang;5
1;Pantai Air Manis;5
1;Pantai Gesing;4
1;Pantai Kasap;5
1;Pantai Kelingking;5
1;Pantai Sarumanis;5
1;Pantai Sawarna;5
1;Pantai Srakung;5
1;Pantai Tampora;1
1;Pantai Tanjung Lesung;5
1;Sunrise Point Cukul;5
1;Taman Langit;4
1;Taman Nasional Kepulauan Seribu;5
1;Pantai Sepanjang;2
1;Malioboro Yogyakarta;5
1;Lombok;2
1;Pantai Teluk Asmara;5
1;Pulau Padar;5
1;Simpang Lima Gumul;4
1;Taman Nasional Bantimurung;5
1;Taman Safari Pasuruan;5
1;Jawa Timur Park 2;5
1;Nusa Penida;5
1;Bukit Jamur;1
1;Candi Sewu;5
1;Curug Cipanas;4
1;Dago Dreampark;4
1;Dunia Fantasi;5
1;Gunung Papandayan;5
1;Kawah Rengganis;5
1;Pantai Kesirat;4
1;Pantai Krakal;5
1;Pantai Baron;4
1;Pantai Baruna;3
1;Pantai Depok;3
1;Pantai Drini;5
1;Pantai Kuta;5
1;Pantai Pandawa;5
1;Pantai Nglambor;4
1;Pantai Parangtritis;5
1;Pantai Pok Tunggal;5
1;Taman Film;5
1;Pantai Santolo;4
1;Pantai Siung;5
1;Pantai Timang;5
1;Skyrink - Mall Taman Anggrek;4
1;Red Island Beach;5
1;Taman Bungkul;4
1;Taman Cattleya;2
1;Taman Suropati;5
1;Taman Hutan Raya Ir. H. Djuanda;4
1;Taman Mini Indonesia Indah;2
1;Taman Safari Indonesia Bogor;5
1;Taman Sari;5
1;Taman Sungai Mudal;5
1;Water Blaster Bukit Candi Golf;4
1;The Lodge Maribaya;5
1;Ubud;5
1;Air Terjun Kali Pancur;1
1;Air Terjun Sri Gethuk;4
1;Bukit Moko;5
1;Bukit Panguk Kediwung;5
1;Bukit Wisata Pulepayung;5
1;Candi Ratu Boko;5
1;Kampung Wisata Taman Sari;4
1;Curug Anom;5
1;Curug Cilengkrang;5
1;Indonesia Kaya Park;5
1;Pantai Greweng;4
1;Pantai Ngobaran;5
1;Pantai Ngrawe;5
1;Museum Gunung Merapi;4
1;Pantai Ria Kenjeran;5
1;Pantai Watu Kodok;4
1;Pantai Wediombo;5
1;Pink Beach;4
1;Watu Gunung Ungaran;5
1;Taman Bunga Nusantara;5
1;Taman Flora Bratang Surabaya;5
1;Taman Spathodea;5
1;Tebing Breksi;5
1;Saloka Theme Park;5
2;Air Terjun Madakaripura;5
2;Bunaken Marine Park;4
2;Curug Cikaso;5
2;Curug Cipendok;4
2;Curug Cipamingkis;4
2;Danau Toba;5
2;Grafika Cikole;5
2;Green Canyon Pangandaran;5
2;Kawah Ijen;5
2;Labuan Bajo;5
2;Pantai Balekambang;5
2;Pantai Air Manis;5
2;Pantai Gesing;5
2;Pantai Kasap;5
2;Pantai Kelingking;5
2;Pantai Sarumanis;5
2;Pantai Sawarna;5
2;Pantai Srakung;5
2;Pantai Tampora;3
2;Pantai Tanjung Lesung;5
2;Sunrise Point Cukul;5
2;Taman Langit;5
2;Taman Nasional Kepulauan Seribu;5
2;Candi Borobudur;5
2;Gunung Bromo;5
2;Taman Sari;5
2;Malioboro Yogyakarta;5
2;Pantai Teluk Asmara;5
2;Pulau Padar;5
2;Simpang Lima Gumul;5
2;Taman Nasional Bantimurung;5
2;Taman Safari Pasuruan;4
2;Nusa Penida;5
2;Candi Borobudur;1
2;Candi Prambanan;4
2;Air Terjun Curug Luhur;3
2;Dago Dreampark;5
2;Farm House Susu Lembang;5
2;Gunung Papandayan;5
2;Kawah Rengganis;3
2;Pantai Kesirat;5
2;NuArt Sculpture Park;4
2;Pantai Baron;5
2;Pantai Baruna;4
2;Pantai Depok;5
2;Pantai Drini;5
2;Pantai Ngandong;5
2;Pantai Pandawa;5
2;Pantai Nglambor;5
2;Pantai Parangtritis;4
2;Pantai Pok Tunggal;5
2;Taman Film;5
2;Pantai Santolo;5
2;Pantai Siung;5
2;Pantai Timang;5
2;Skyrink - Mall Taman Anggrek;5
2;Red Island Beach;5
2;Taman Bungkul;5
2;Taman Cattleya;5
2;Taman Suropati;5
2;Taman Hutan Raya Ir. H. Djuanda;5
2;Taman Mini Indonesia Indah;5
2;Taman Safari Indonesia Bogor;5
2;Taman Sari;3
2;Taman Sungai Mudal;4
2;Water Blaster Bukit Candi Golf;3
2;The Lodge Maribaya;5
2;Ubud;4
2;Air Terjun Kali Pancur;5
2;Air Terjun Sri Gethuk;4
2;Bukit Moko;4
2;Bukit Panguk Kediwung;5
2;Bukit Wisata Pulepayung;4
2;Candi Ratu Boko;5
